?2147467259	지정되지 않은 에러.
1156	데이터 포맷이 기대했던 데이터 타입과 일치하지 않아서 발생한 메모리에 꽉 참 에러. 이것은 메모리에 너무 큰 버퍼를 할당하려고 해서 생깁니다. 정상적인 메모리 할당도 시스템 메모리를 다 차지할 수 있지만, 메모리 부족 에러는 대부분 데이터를 잘못 해석하고 데이터를 데이터 크기로 처리하기 때문에 발생합니다. 시스템이 작업을 끝마치기 위해 더 많은 메모리를 필요로 한다고 가정하기 전에, 요청하는 읽기 포맷이 읽는 데이터에 유효한지 확인합니다.
1157	숫자형 인디케이터를 가지고 이 프로퍼티를 사용할 수 없습니다.
1174	[라이브러리 함수 호출 노드]에 대해 유효하지 않은 반환 파라미터. 반환 타입은 Void, 숫자형, 또는 문자열입니다. 숫자형 반환 타입은 값으로 전달됩니다. 문자열 반환 타입은 C 문자열 포인터나 Pascal 문자열 포인터로서 전달됩니다.
1175	[라이브러리 함수 호출 노드] 설정에서 유효하지 않은 배열 차원. 배열은 1차 이상의 차원을 가져야 합니다.
1176	[라이브러리 함수 호출 노드] 설정에서 유효하지 않은 웨이브폼 차원. 웨이브폼은 0 이나 1 차원을 가져야 합니다.
1177	라이브러리 함수 호출 노드 파라미터에 대해 유효하지 않은 데이터 타입. Void는 함수의 반환 타입으로만 사용될 수 있습니다.
1186	자체에 라벨을 보여 주거나 숨길 수 없습니다. 라벨을 보이는 것은 라벨 소유자가 컨트롤합니다.
1187	이 작업을 위해 Internet Explorer가 필요하지만 설치되어 있지 않습니다.
1188	정적 VI 참조가 설정되어 있지 않습니다. 블록다이어그램의 정적 VI 참조 함수에서 마우스 오른쪽 버튼을 클릭하고 경로 탐색을 선택합니다. 참조를 위해 VI를 탐색하고 참조를 설정하기 위해 열기 버튼을 클릭합니다.
1190	컨트롤이 키 포커스를 가질 때 수행이 허용되지 않습니다.
1191	와이어가 이미 그 위에 프로브를 가지고 있습니다.
1192	디지털 디스플레이를 위한 데이터 범위 설정이 없습니다.
1193	불리언 컨트롤이 래치 기계적인 동작을 할 때, 값 프로퍼티를 사용하여 값을 읽거나 쓸 수 없습니다. 불리언 컨트롤이 래치 기계적 동작으로 설정된 경우, 값 프로퍼티는 항상 에러를 반환합니다. 래치 기계적 동작으로 설정된 불리언 값이 있을 때 경합 조건이 발생할 수 있기 때문에 래치 기계적 동작으로 설정된 불리언 값을 프로그램적으로 읽을 수 없습니다.
1194	이 익스프레스 VI는 DIAdem 8.1 이상의 버전과 LabVIEW DIAdem 연결 VI 버전 2.1 이상을 요구합니다. 연결 VI는 ni.com에서 무료로 다운로드 받을 수 있습니다. 이 VI를 다운로드하려면 National Instruments 웹 사이트를 참조하십시오.
1196	확장 가능한 subVI의 확장된 영역에서 같은 터미널을 한번 이상 열거할 수 없습니다.
1197	이 작업은 정적 VI 참조에서 유효하지 않습니다. 정적 VI 참조를 사용하여 VI를 실행하려면, 인보크 노드를 사용하여 VI 실행 메소드를 호출합니다. VI에 인보크 노드 클래스를 설정하여 VI 실행 메소드를 선택합니다.
1198	VI가 이 작업에 호환되는 상태에 있지 않습니다. 참조된 VI의 실행 모드를 변경하여 이 작업을 재호출합니다.
1301	전달된 배열의 차원이 작업을 수행하는데 기대되었던 차원과 일치하지 않습니다.
1303	배열의 원소가 유일하지 않습니다. 배열에 중복된 아이템이 있습니다.
1304	배열 인덱스가 배열의 경계 밖에 있습니다.
1305	요구된 페이지를 발견할 수 없습니다.
1306	새로운 코드 리소스를 노드에 로드할 수 없습니다. 코드 리소스가 이미 로드되어 있습니다.
1307	서브패널 컨트롤이 VI 윈도우를 열 수 없습니다. 서브패널 컨트롤에 VI를 삽입하려고 했지만, 삽입하려는 프런트패널이나 블록다이어그램 윈도우가 존재하지 않습니다.
1308	프로퍼티나 인보크 노드가 프런트패널 컨트롤에 링크되어 있지 않습니다.
1309	프로퍼티나 인보크 노드 참조 입력 터미널이 이미 연결되어 있습니다.
1310	객체가 프로퍼티 또는 인보크 노드와 같은 VI에 있지 않습니다. 컨트롤의 컨트롤 참조가 프로퍼티나 인보크 노드를 가지고 있는 VI에 속해 있지 않습니다.
1311	클래스 이름에 대한 입력이 올바르지 않거나 틀린 포맷입니다. 클래스 이름에 대한 입력이 올바르지 않거나 틀린 포맷입니다. 올바른 포맷은 클래스 타입으로 시작하여 그 뒤에 긴 이름을 사용한 객체 경로가 와야 합니다. 예를 들면, VI 서버:일반:G객체
1312	구조 프레임 인덱스가 범위를 벗어납니다. 이 에러는 케이스, 다층 시퀀스, 또는 이벤트 구조의 프레임에 접근하기 위해 범위를 벗어난 인덱스 값을 사용할 때 발생할 수 있습니다.
1313	라디오 버튼 컨트롤의 컨트롤에 이 프로퍼티를 사용할 수 없습니다.
1314	타입 정의 설정의 인스턴스에 이 프로퍼티를 사용하여타입 정의의 원래 복사본으로부터 자동적으로 업데이트할 수 없습니다.
1315	아주 큰 설명자를 가진 데이터 타입을 생성하려고 시도했습니다.
1319	VI를 실행 상태에 있지 않은 서브패널에 삽입할 수 없습니다.
1320	실행 모드에서 LabVIEW는 생성되지 않은 컨트롤 부분에 대해서 프로퍼티를 얻거나 설정할 수 없습니다.
1321	NI 라이센스 관리자가 초기화되지 않았습니다. 시작≫프로그램≫National Instruments≫NI 라이센스 관리자를 선택하여 컴퓨터에 NI 라이센스 관리자가 설치되었는지 확인합니다.
1322	유효하지 않은 프로젝트 빌드 참조.
1357	이 경로의 LabVIEW 파일이 메모리에 이미 존재하거나 또는 메모리에 있는 프로젝트 라이브러리 내에 존재합니다. 이 에러를 해결하려면, 파일의 경로를 열려 있는 어플리케이션 인스턴스에서 아직 LabVIEW 파일을 포함하지 않는 경로로 지정하십시오.
1358	하위 구획의 최소 또는 최대 크기를 만족하지 못하기 때문에, 분리자 막대를 이 위치로 이동할 수 없습니다. LabVIEW가 분리자 막대를 지정된 위치로 이동하려할 때, 적어도 하나 이상의 구획이 설정된 최소 크기보다 작게 줄어듭니다. 예를 들어, 하나의 수직 분리자 막대를 가진 VI가 있고 왼쪽 구획의 최소 크기가 50인 경우, 분리자 위치 프로퍼티에 10을 연결하면 이 에러가 반환됩니다. 이 에러를 수정하려면, 구획의 최소 크기를 더 작은 값으로 설정하거나, 분리자 위치 프로퍼티에 최소 크기 이상으로 구획을 줄이지 않는 값을 연결하십시오.
1359	이전의 끌기 트랜잭션이 여전히 대기 상태이기 때문에 끌기가 시작할 수 없습니다.
1360	이 끌어서 놓기 작업에 요청된 데이터 타입을 제공할 수 없습니다. 이 에러를 수정하려면 이 함수를 호출했을 때 끌기와 놓기 작업이 진행중인지 확인하고 데이터 타입과 끌기 데이터 이름이 끌기와 놓기 작업 도중에 현재 사용 가능한 것과 일치하는지 확인합니다.
1361	끌기 데이터 원소의 이름 또는 데이터 타입이 내장된 LabVIEW 끌기 데이터 타입과 충돌합니다. 데이터 이름에 접두어 LV_는 사용할 수 없습니다.
1362	자동 줄바꾸기가 활성화되어 있으면 이 문자열 디스플레이 모드와 함께 이 프로퍼티를 사용할 수 없습니다. 디스플레이 모드를 제로(일반)로 변경하고 이 프로퍼티를 사용하기 위해 자동 줄바꾸기를 비활성화합니다.
1363	지정된 이름 또는 GUID가 유효하지 않습니다.
1364	제공자 플러그인이 설치되지 않았거나 훼손되었습니다
1365	유효한 GUID 생성에 실패하였습니다
1366	VI가 삽입된 여러 패널을 포함하고 있을때 서브패널 컨트롤의 스크롤 막대를 숨기거나 보일 수 없습니다.
1370	선택된 빌드는 완료되지 못했습니다.
1376	다이어그램 비활성화 구조는 기본 프레임을 가지고 있지 않습니다. 이 에러는 기본 프레임 프로퍼티를 다이어그램 비활성화 구조와 함께 사용하려할 때 발생합니다. 이 프로퍼티는 조건적 비활성화 구조와 함께만 사용할 수 있습니다.
1377	다이어그램 비활성 구조는 조건을 가질 수 없습니다. 이 조건 프로퍼티와 프레임 인덱스 얻기 메소드는 오직 조건적 비활성화 구조와 함께 사용할 수 있습니다.
1378	조건적 비활성화 구조에 활성 프레임 프로퍼티를 설정할 수 없습니다. 이 에러는 활성 프레임 프로퍼티를 조건적 비활성화 구조와 함께 사용하려할 때 발생합니다. 조건이 활성 프레임을 결정하기 때문에 이 프로퍼티는 조건적인 비활성 구조와 함께 사용될 수 없습니다. 이 프로퍼티는 다이어그램 비활성화 구조와 함께만 사용할 수 있습니다.
1380	라이센스 체크아웃에 실패하였습니다. 라이센스가 유효하지 않거나 존재하지 않기 때문에 요청된 라이센스를 체크아웃할 수 없습니다.
1381	1보다 작은 크기의 세마포어는 생성될 수 없습니다.
1384	끌기 데이터 타입의 중복된 이름이 끌기 시작 메소드 또는 끌기 시작? 이벤트로 전달되었기 때문에, 끌기를 시작할 수 없습니다. 이 에러를 수정하려면, 끌기 데이터에 사용하는 이름이 메소드 또는 이벤트의 데이터 배열의 각 원소에 유일하도록 하십시오.
1385	제공된 데이터가 유효하지 않기 때문에, 끌기와 놓기 동작을 시작할 수 없습니다. 이 에러를 수정하려면, 끌기 데이터 배열이 널이 아닌지, 모든 원소가 이름과 데이터 필드를 가지고 있는지 확인하십시오.
1388	접근하려고 하는 블록다이어그램은 평가판 모드 또는 유효하지 않은 라이센스의 LabVIEW에서 생성된 VI에 포함됩니다. 이 에러를 수정하려면, 해당 VI와 그에 포함된 라이브러리에 대한 유효한 라이센스를 얻어야합니다.
1389	평가판 모드 또는 유효하지 않은 라이센스의 LabVIEW에서 VI 저장 및 복사를 시도하였습니다. 이 에러를 수정하려면, 해당 VI와 그에 포함된 라이브러리에 대한 유효한 라이센스를 얻어야합니다.
1390	스코프를 벗어난 VI의 VI 서버 참조를 열려고 시도하였습니다. VI는 subVI로 호출할 수 있는 다른 VI에게만 VI 서버 참조를 열 수 있습니다. 참조가 열린 후에, VI는 일반 상황에서는 참조를 열 수 없는 다른 VI에게도 참조를 반환할 수 있습니다.
1396	소스 문자 세트의 텍스트를 대상 문자 세트로 변환할 수 없습니다.
1397	이 subVI의 필수 입력이 연결되어 있지 않습니다. 이 에러를 수정하려면, 필수 입력을 연결합니다.
1398	블록다이어그램에 로컬 변수가 있기 때문에, subVI는 코드로 대체될 수 없습니다.
1399	프런트패널 터미널이 루트 다이어그램에 없기 때문에, subVI는 코드로 대체될 수 없습니다. 예를 들어, 이 에러는 프런트패널 터미널이 구조의 안에 있을 때 발생할 수 있습니다.
1430	경로가 비어있거나 상대 경로입니다. 절대 경로를 반드시 사용해야 합니다.
1432	지정된 포맷을 부동소수 데이터와 함께 사용할 수 없습니다. 예를 들어, 16진수 표기법은 부동소수에 유효한 포맷이 아닙니다.
1434	정밀도가 이 포맷에서 허용되는 최대 값보다 큽니다.
1436	숫자형 정밀도는 음수가 될 수 없습니다.
1438	아카이브 버전은 현재 LabVIEW 버전보다 더 나중의 것입니다.
1439	디스크의 새 라이브러리 파일이 원본 라이브러리와 충돌을 일으킬 수 있기 때문에, 프로젝트 라이브러리를 원본 라이브러리와 동일한 폴더에 복사할 수 없습니다. 프로젝트 라이브러리를 복사할 때 반드시 디스크의 다른 위치를 지정해야 합니다.
1440	파일 이름은 예상된 이름과 일치하지 않습니다. 지정된 파일은 원본 파일과 같은 파일 이름을 가지고 있어야 합니다.
1443	지정된 서버에 의해 디버그 연결이 거부되었습니다. 어플리케이션 또는 공유 라이브러리당 하나의 디버그 연결만 허용됩니다.
1444	어플리케이션에서 다운로드할 VI가 없습니다. 연결이 종료되었습니다.
1445	VI 참조 열기가 더 이상 메모리의 VI들과 파일 이름으로 일치하지 않습니다. VI의 전체 이름이 이제 상위 라이브러리를 포함하기 때문에 파일 이름은 더 이상 유효하지 않습니다. 경로 분리 함수를 사용하여 파일 이름을 문자열로 연결할 수 있지만, 라이브러리에 포함된 VI에는 해당되지 않습니다.
1447	이전 버전으로 저장할 때 이름 충돌이 있었습니다. 라이브러리의 VI는 라이브러리 이름_VI 이름의 형태로 저장되었습니다. 동일한 이름을 가진 VI가 이미 이 계층구조에 있습니다.
1449	배열은 적어도 하나의 차원을 가지고 최대 63 차원을 가질 수 있습니다.
1450	하나 혹은 그 이상의 제목없는 라이브러리가 의존되어 있습니다. 모든 종속 파일의 이름을 만들기 전에는 이 파일을 저장할 수 없습니다.
1451	하나 혹은 그 이상의 제목없는 의존되어 있습니다. 모든 종속 파일의 이름을 만들기 전에는 이 파일을 저장할 수 없습니다.
1452	이 라이브러리가 LabVIEW의 이전 버전에서 저장되었습니다. LabVIEW의 현재 버전으로 로드되고 저장되어야 합니다.
1453	라벨, 캡션, 독립 라벨의 수직 배치를 설정할 수 있습니다.
1454	LabVIEW 클래스는 LabVIEW의 이 버전에서 XML로 패턴화될 수 없습니다.
1455	되돌리기를 실패했습니다. 이 아이템이 이 머신에서 다른 내용으로 편집되었습니다. 그 인스턴스만이 되돌려질 수 있습니다.
1468	라이브러리가 지정된 기능을 지원하지 않습니다. 기능 이름에 공백이 없는지 확인합니다.
1469	지정된 기능이 이미 있습니다. 기능을 여러번 추가할 수 없습니다.
1470	지정된 폴더가 라이브러리에 있지 않습니다. 라이브러리 아이템을 라이브러이에 있지 않은 폴더에 추가할 수 없습니다.
1483	플롯 범례를 자동 크기 조정으로 설정하거나 범례가 하나 이상의 엔트리가 있고 플롯 범례를 수평으로 배치하면 플롯 범례의 폭을 변경할 수 없습니다. 그래프 또는 차트에서 마우스 오른쪽 버튼을 클릭하고 바로 가기 메뉴의 플롯 범례 자동 크기 조정을 선택 해제하여, 크기 자동 조정 기능을 비활성화하고 플롯 범례를 수직으로 정렬했는지 점검합니다.
1484	SubVI의 블록다이어그램에 함축적인 컨트롤 참조가 있기 때문에 LaVIEW가 subVI를 호출하는 VI로 인라인 할 수 없습니다. 이 에러를 수정하고 subVI를 인라인하려면 함축적인 컨트롤 참조를 제거합니다.
1485	SubVI의 블록다이어그램에 함축적인 프로퍼티 노드 또는 인보크 노드가 있기 때문에 LaVIEW가 subVI를 호출하는 VI로 인라인 할 수 없습니다. 이 에러를 수정하고 subVI를 인라인하려면 함축적인 프로퍼티 노드 또는 인보크 노드를 제거합니다.
1488	이동 파일은 더이상 지원되지 않기 때문에 로드할 수 없습니다.
1489	이동 파일은 그 내용이 유효하지 않거나 손상되어 있기 때문에 로드할 수 없습니다.
1490	존재하지 않거나 유효하지 않은 데이터를 참조하기 때문에 이동 파일을 로드할 수 없습니다.
1491	하나의 어플리케이션 인스턴스에서 큐 참조를 얻으면 다른 어플리케이션 인스턴스에서 같은 큐 참조를 사용할 수 없습니다. LabVIEW 어플리케이션 인스턴스 사이의 통신에 큐를 사용할 수 없습니다.
1492	하나의 어플리케이션 인스턴스에서 알림자 참조를 얻으면 다른 어플리케이션 인스턴스에서 같은 알림자 참조를 사용할 수 없습니다. LabVIEW 어플리케이션 인스턴스 사이의 통신에 알림자를 사용할 수 없습니다.
1493	같은 이름을 가진 여러 파일이 단일 LLB에 저장될 수 없기 때문에 저장 작업을 실패했습니다. 이 에러를 수정하려면 LLB 대신에 폴더에 저장합니다.
1497	실행 중인 VI의 인스턴스가 존재할 때 편집하기 위해 라이브러리를 잠금해제할 수 없습니다.
1498	라이브러리에 에러가 있습니다. 이 작업을 시도하기 전에 에러를 수정하십시오.
1499	라이브러리에는 다른 내용으로 편집된 것을 가지고 있습니다. 이 작업을 시도하기 전에 변경사항을 동기화하십시오.
1500	하나의 어플리케이션 인스턴스에서 사용자 이벤트 참조를 얻으면 다른 어플리케이션 인스턴스에서 같은 사용자 이벤트 참조를 사용할 수 없습니다. LabVIEW 어플리케이션 인스턴스 사이의 통신에 사용자 이벤트를 사용할 수 없습니다.
1502	블록다이어그램을 포함하지 않고는 적절치 않은 VI를 저장할 수 없습니다.
1503	재호출 VI의 복제를 저장할 수 없습니다.
1504	리모트 패널을 저장할 수 없습니다.
1517	라이브러리 호출 노드 프로세스에서 에러가 발생했습니다. 라이브러리 호출 노드와 DLL에서 호출된 함수 사이에서 호출 형식에 대한 설정이 일치하지 않아서 발생했을 가능성이 높습니다.
1523	유효하지 않은 개수의 문자열이 문자열 [ ] 프로퍼티로 전달되었습니다. 1개 또는 6개의 문자열을 전달해야 합니다.
1524	저장힐 타겟 버전이 올바르게 포맷되어 있지 않습니다. 저장하려는 타겟 버전이 다음과 같은 유효한 LabVIEW 버전이어야 합니다: x.x 또는 xx.x, 여기서, x는 숫자입니다. 유효한 버전 목록은 LabVIEW 도움말을 참조하십시오.
1526	그래프 또는 차트의 플롯 범례가 트리 보기인 경우에는 이 프로퍼티가 적용되지 않습니다.
1529	하위 VI 호출이 너무 많습니다. 이 에러는 일반적으로 반복에서 이를 중단하는 적절한 터미널 조건이 없을 때 발생합니다.
1532	타겟 어플리케이션 인스턴스가 현재 삭제되고 있습니다. 어플리케이션 인스턴스에 대한 새 참조를 가져오거나 어플리케이션 인스턴스에서 VI를 로드할 수 없습니다.
1533	지정된 터미널에서 공유 변수 노드를 생성할 수 없습니다.
1534	지정한 세마포어가 존재하지 않습니다. LabVIEW는 이 세마포어에 대한 참조를 반환할 수 없습니다. 세마포어 참조 얻기 VI의 발견되지 않으면 생성 입력이 거짓이고, 지정한 이름으로 LabVIEW가 세마포어를 찾을 수 없는 경우에 이 에러가 발생할 수 있습니다.
1535	지정한 세마포어 참조가 유효하지 않습니다. 이 에러를 수정하려면, 세마포어의 참조가 유효한지 점검합니다.
1544	LabVIEW가 버퍼되지 않은 모드에서 열린 파일에서 읽기, 쓰기, 찾기 작업을 시도했고, 데이터의 크기가 디스크 섹터 크기의 배수가 아닙니다. 올바른 섹터 크기를 반환하려면 볼륨 정보 얻기 함수를 사용합니다. 섹터 크기와 정렬할 올바른 데이터 크기를 갖고 있지 않은 경우, 필터 데이터로 데이터를 채우고 LabVIEW가 다시 파일을 읽기 전에 필터 데이터를 삭제해야 합니다.
1545	LabVIEW가 버퍼되지 않은 모드에서 열린 파일에서 데이터를 쓰거나 읽으려고 시도했고, 데이터가 올바르게 정렬되지 않았습니다. LabVIEW는 데이터가 어떻게 정렬되는지를 결정하며, 사용자가 이 정렬 방법을 바꿀 수 없습니다. 이 에러가 발생하는 경우, 버퍼링을 활성화하고 파일을 다시 열어야 합니다.
1546	VI가 이 프로퍼티를 사용하는 프로젝트에 있어야 합니다.
1548	크기 0에서는 큐 참조 번호를 얻을 수 없습니다. 입력하는 크기가 양수이거나, 크기 무제한의 경우에는 -1이어야 합니다.
1550	I/O 서버 타입의 라이센스가 유효하지 않습니다.
1553	LabVIEW 런타임 엔진은 다형성 VI를 로드할 수 없습니다. 이 에러는 VI가 다형성일 때 독립 어플리케이션에서 발생합니다. 이 에러를 수정하려면, 다형성 VI가 아니라 다형성 VI의 인스턴스를 로드하십시오.
1554	현재의 LabVIEW 타겟이 컨트롤 VI를 로드할 수 없습니다.
1556	해당 참조가 유효하지 않습니다. 이 에러의 발생 원인은 참조가 삭제되었기 때문일 수 있습니다.
1557	LabVIEW가 중복된 참조에 동시에 접근하려고 시도했습니다.
1558	와이어 타입과 참조의 내부 데이터 타입이 일치하지 않습니다. 이 문제는 타입 캐스트 에러 때문에 발생했을 수 있습니다.
1564	이 때에 프로젝트 파일을 저장할 수 없습니다. 프로젝트에는 잠긴 제목없는 의존성이 있습니다. 잠금은 제목없는 아이템에 저장할 수 없는 이름을 붙이는 것을 방지합니다.
1571	LabVIEW 이전 버전에 저장한 묶음 라이브러리는 열 수 없습니다.
1573	현재 타겟이나 OS와 다른 타겟 또는 OS용으로 만들어진 묶음 라이브러리는 로드할 수 없습니다.
1574	LabVIEW 런타임 엔진에서 컴파일된 코드가 분리되어있는 파일을 열 수 없습니다. 파일 배급자에게 문의하십시오. 배급자는 LabVIEW 런타임 엔진에서 실행될 수 있도록 반드시 파일에 컴파일된 코드를 포함해야 합니다.
1579	지정된 경로는 공동의 디렉토리를 공유하지 않습니다. 이 경로는 디렉토리를 공유해야 합니다. 공동의 디렉토리를 공유하는 각 경로 세트에 대해 캐시를 만들어 보십시오.
1580	컴파일된 객체의 캐시에서 컴파일된 코드를 찾을 수 없습니다. VI가 컴파일된 코드를 따로 저장하도록 표시되었는지, VI가 깨지지 않았는지 확인하십시오. 그런 다음 VI를 컴파일합니다.
1581	.NET 컨테이너나 ActiveX 컨테이너에서 이 프로퍼티를 사용할 수 없습니다.
1584	참조에 있는 데이터의 크기를 조정할 수 없습니다. 참조의 데이터와 데이터 값 참조 원소 쓰기 경계 노드에 연결된 데이터의 크기가 맞지 않습니다.
1586	컴파일된 코드가 이전 버전입니다.
1587	소스 파일에서 컴파일된 코드를 분리하도록 VI에 표시되어 있지 않습니다.
1588	컴파일된 객체의 캐시가 손상되었습니다.
1590	지정된 파일의 의존성 중 유효한 이름이 있는 것을 LabVIEW가 예상하지 못했습니다. 이러한 불일치는 의존성 보고서가 신뢰할 수 없다는 것을 뜻하며, 따라서 링크 정보 읽기 작업이 강제 종료되었습니다.
1595	RT 타겟에 시작 어플리케이션을 로드할만큼 충분한 메모리가 없습니다.
1596	SSL이 설정 또는 설치되지 않았거나, 지원되지 않아서 이 OS에서는 SSL을 사용할 수 없습니다.
1597	바로 가기 메뉴에서 "붙여넣기" 옵션이 비활성화되어 있는 대상에 데이터 붙여넣기 작업을 시도했습니다.
1599	빈 문자열은 유효한 메소드 이름이 아닙니다.
1603	[VI 참조 열기] 함수는 비동기 참조에 의한 호출 옵션을 재호출 실행 준비 옵션과 함께 사용하도록 지원하지 않습니다. 0x80 및 0x100 옵션 플래그 모두 0x08 옵션 플래그와 충돌합니다. 0x08 플래그는 VI를 VI 실행 메소드와 함께 실행할 때 유용합니다. 0x08 플래그는 비동기화 호출을 수행할 때는 유용하지 않습니다. 이 에러를 수정하려면, 0x08 옵션을 제거하거나 0x80 및 0x100 옵션을 제거하십시오.
1604	[VI 참조 열기] 함수는 0x08 옵션(재호출 실행 준비)을 비동기 참조에 의한 호출 옵션인 0x80(호출 및 무시 준비) or 0x100(호출 및 수집 준비)과 함께 사용하도록 지원하지 않습니다.
1611	프런트패널 아이템에 실행 데이터가 없기 때문에 내부 에러가 발생했습니다. VI를 다시 컴파일하면 이 문제가 해결될 수도 있습니다.
1616	리포트를 저장할 경로가 유효하지 않습니다. 유효한 경로에는 다음 증 어떠한 문자도 포함되서는 안 됩니다: (Windows) < > / | : " * ? or (OS X/Linux) < > \ | : " * ?.
1617	LabVIEW가 VI 비교 리포트를 생성할 수 없습니다. 지정한 경로에 대해 쓰기 권한이 있는지 확인한 후, 리포트를 다시 생성하십시오.
1619	LabVIEW가 Microsoft Word 구성요소를 찾을 수 없습니다. Microsoft Word를 올바르게 설치하였는지 확인하십시오.
1620	LabVIEW가 Microsoft Word 리포트를 생성할 수 없습니다. 리포트 생성을 다시 시도하십시오. 문제가 지속되면, National Instruments 기술 지원에 연락하십시오.
1621	LabVIEW가 Microsoft Word 리포트를 생성할 수 없습니다. 리포트 생성을 다시 시도하십시오. 문제가 지속되면, National Instruments 기술 지원에 연락하십시오.
1622	LabVIEW가 Microsoft Word 리포트를 생성할 수 없습니다. Microsoft Word를 올바르게 설치하였는지 확인한 후, 리포트를 다시 생성하십시오.
1623	LabVIEW가 Microsoft Word 구성요소를 찾을 수 없습니다. Microsoft Word를 올바르게 설치하였는지 확인하십시오.
1624	OS X 및 Linux에서는 웹 페이지나 일반 텍스트 리포트만을 생성할 수 있습니다.
1627	%d의 위치에 있는 컨트롤 인덱스가 유효하지 않습니다.
1628	LabVIEW는 %d의 위치에 있는 입력 데이터 타입을 컨트롤 데이터 타입으로 변경할 수 없습니다.
1629	이 컨트롤은 블록다이어그램에서 터미널을 가지고 있어야 합니다.
1630	배리언트 또는 LabVIEW 클래스 라이브러리 파일(.lvclass)를 이 함수에 연결하는 경우, 같은 어플리케이션 인스턴스에 있는 VI에서 함수를 호출해야 합니다.
1632	사용자 컨트롤을 직접 서브패널에 삽입할 수 없습니다. 대신 프런트패널에 사용자 컨트롤이 있는 VI를 사용하십시오.
4800	선택된 디바이스가 유효하지 않습니다. 현재 선택된 디바이스 인덱스가 유효하지 않습니다. 유효하지 않은 사운드 드라이버로 인해 이 에러가 발생할 수 있습니다.
4801	유효하지 않은 사운드 태스크 참조 번호. 사용할 사운드 드라이버가 없거나 주어진 GUID가 유효한 DirectSound 디바이스 ID가 아닙니다.
4802	사운드 디바이스가 사용 중에 있습니다. 다른 어플리케이션이 현재 디바이스를 사용하고 있습니다. 이 어플리케이션의 우선순위 레벨을 높이면 이 문제가 해결될 수 있습니다.
4803	사운드 드라이버 또는 카드가 지정된 설정과 호환되지 않습니다. 입력된 파라미터가 하드웨어 및 드라이버의 지원 범위 내에 있는지 확인합니다. 사운드 출력 설정 VI를 사용하는 동안 이 에러가 발생했다면, 더 자세한 정보는 ni.com에서 기술지원 데이터베이스를 참조하십시오.
4804	파일 재생 장치에 쓸 수 없습니다. 파일이 재생되는 동안 어플리케이션이 파일에 쓰려고 시도하였습니다. 이 에러 코드는 현재 LVSound 라이브러리에 의해 보고되지 않습니다.
4805	사운드 파일을 찾을 수 없습니다. 지정된 사운드 파일을 찾을 수 없습니다.
4806	실행하기 위해서 DirectX 8.0 또는 상위 버전이 필요합니다. 이 에러를 수정하려면 http://www.microsoft.com/downloads에서 최신 DirectX 버전을 설치하십시오.
4810	사운드 포맷을 인식할 수 없습니다. 이 파일의 사운드 포맷을 인식할 수 없습니다. 파일이 손상되었을 수도 있습니다.
4811	사운드 포맷을 지원하지 않습니다. 지정된 웨이브 포맷을 지원하지 않습니다. 하드웨어, 드라이버, 또는 양쪽 모두의 한계일 수도 있습니다.
4820	버퍼 언더플로우가 발생하였습니다. 어플리케이션이 데이터를 쓰는 속도가 빠르지 않아 버퍼 언더플로우가 발생하였습니다.
4821	덮어쓰기 에러. 어플리케이션이 버퍼에서 데이터를 읽는 속도가 빠르지 않아 덮어쓰기 에러가 발생하였습니다.
4822	수행이 완료되기 전에 타임아웃이 발생하였습니다. 어플리케이션이 성공적으로 상호 배제를 얻을 수 없었기 때문에 타임아웃 에러가 발생하였습니다.
4823	활성화된 태스크 없이 이 작업을 수행할 수 없습니다. 이 태스크가 활성화되어 있는지 확인하고 다시 시도하십시오. 입력 버퍼가 오버플로우 상태이면, 입력 태스크가 실행을 정지할 수 있습니다. 데이터를 충분히 빨리 읽지 않을 때 오버플로우가 발생합니다.
56000	일반 프로젝트 에러.
56001	이 이름의 아이템이 프로젝트에 이미 존재합니다.
56002	이 경로의 아이템이 프로젝트에 이미 존재합니다.
56003	이 아이템을 추가하면 다른 아이템과 충돌할 수 있습니다.
56004	프로젝트 아이템을 찾을 수 없습니다.
56005	아이템 타입이 타겟 타입과 호환되지 않습니다.
56006	프로젝트 라이브러리에 묶음 라이브러리를 추가할 수 없습니다.
66464	컨트롤러의 글로벌 시간이 변경되었고, NI 스캔 엔진의 반복 주기가 영향을 받을 수 있습니다. IEEE-1588 또는 GPS와 같은 타이밍 소스가 컨트롤러의 글로벌 시간 값을 수정했습니다. 이때 임시적인 위상 이동이 있을 수 있고, 그런 경우 NI 스캔 엔진 변수의 1회 반복 업데이트 주기가 변경됩니다.
